Translation Keys,en-US,ru,ru-RU,uk-UA
Are you sure?,Are you sure?,,Вы уверены?,
Bulk Edit,Bulk Edit,,Массовое изменение,Bulk Edit
Cancel,Cancel,,Отмена,Cancel
Cancel Edit,Cancel Edit,,Отменить Редактирование,
Choose File,Choose File,,Выбрать файл,
Column,Column,,Колонка,
Copy,Copy,,Копировать,
Copy All,Copy All,,Скопируйте Все,
Crop the image,Crop the image,,Обрезать изображение,
Discard,Discard,,Отменить,
Draft,Draft,,Черновик,
Exit Bulk Edit,Exit Bulk Edit,,Выход из массового редактирования,
Exit Sorting Mode,Exit Sorting Mode,,Выход из Режима Сортировки,
Last Week,Last Week,,Последняя Неделя,
Latest Orders,Latest Orders,,Последние заказы,
Live,Live,,Существовать,
Localized,Localized,,Локализованный,
Not Localized,Not Localized,,Не Локализованный,
OK,OK,,OK,
Paid Orders Count,Paid Orders Count,,Количество оплаченных заказов,
Publish,Publish,,Публиковать,
Qor DEMO,Qor DEMO,,Qor DEMO,
Query Mode,Query Mode,,Режим Запроса,
Registered Users Count,Registered Users Count,,Количество зарегистрированные пользователей,
Reports,Reports,,Отчеты,
Save,Save,,Сохранить,
Saved,Saved,,Сохраненный,
Sorting Mode,Sorting Mode,,Режим Сортировки,
Source,Source,,Исходник,
Target,Target,,Назначение,
This Week,This Week,,Текущая Неделя,
Translation,Translation,,Перевод,
Update Report,Update Report,,Обновление Отчета,
Yesterday,Yesterday,,Вчерашний,
abandoned_orders.actions.Delete,Delete,,Удалить,
abandoned_orders.actions.Edit,Edit,,Редактировать,
abandoned_orders.actions.scopes_10000,10000,,10000,
abandoned_orders.actions.scopes_20000,20000,,20000,
abandoned_orders.actions.scopes_5000,5000,,5000,
abandoned_orders.attributes.Abandoned Reason,Abandoned Reason,," Заброшенные покупки",
abandoned_orders.attributes.Billing Address,Billing Address,,Платежный Адрес,
abandoned_orders.attributes.Cancelled At,Cancelled At,,Время завершения,
abandoned_orders.attributes.ID,ID,,ID,
abandoned_orders.attributes.Order Items,Order Items,,Заказ Позиции,
abandoned_orders.attributes.Payment Amount,Payment Amount,,"
К Оплате",
abandoned_orders.attributes.Shipped At,Shipped At,,Отгружен,
abandoned_orders.attributes.Shipping Address,Shipping Address,,Адрес Доставки,
abandoned_orders.attributes.State,State,,"
Состояние",
abandoned_orders.attributes.Tracking Number,Tracking Number,,Транспортная Накладная,
abandoned_orders.attributes.User,User,,Пользователь,
abandoned_orders.name.plural,Abandoned Orders,,Заброшенные Заказы,
abandoned_orders.scopes.Amount Greater Than,Amount Greater Than,,Количестве Более Чем,
abandoned_orders.scopes.Amount Greater Than.10000,10000,,10000,
abandoned_orders.scopes.Amount Greater Than.20000,20000,,20000,
abandoned_orders.scopes.Amount Greater Than.5000,5000,,5000,
activity.comment on,comment on,,Комментировать,
addresses.attributes.Address1,Address1,,Адрес1,
addresses.attributes.Address2,Address2,,"Адрес2
",
addresses.attributes.City,City,,Город,
addresses.attributes.Contact Name,Contact Name,,Контактное лицо,
addresses.attributes.Mode,Mode,,Режим,
addresses.attributes.Phone,Phone,,Телефон,
cars.attributes.Car Number,Car Number,,Номер Машины,
cars.attributes.Comment,Comment,,Комментарий,
cars.attributes.Drivers,Drivers,,Драйверы,
cars.attributes.ID,ID,,ID,
cars.attributes.Is Active,Is Active,,Активен,
cars.attributes.Name,Name,,Имя,
cars.attributes.Number,Number,,Номер,
cars.attributes.Organization,Organization,,Организация,
cars.attributes.Picture,Picture,,Картина,
cars.name,cars.name,,cars.name,
cars.name.plural,Cars,,Автомобили,
categories.actions.Delete,Delete,,,
categories.actions.Edit,Edit,,,
categories.attributes.ID,ID,,ID,
categories.attributes.Localization,Localization,,Локализация,
categories.attributes.Name,Name,,Имя,
categories.name,Categories,,Категории,
categories.name.plural,Categories,,Категории,
collections.attributes.ID,ID,,ID,
collections.attributes.Localization,Localization,,Локализация,
collections.attributes.Name,Name,,Имя,
collections.name.plural,Collections,,Коллекции,
color_variation_images.attributes.Image,Image,,Изображение,
color_variations.attributes.Color,Color,,Цвет,
color_variations.attributes.Color Code,Color Code,,Цветовой Код,
color_variations.attributes.Images,Images,,Изображения,
color_variations.attributes.Size Variations,Size Variations,,Варианты размера,
colors.actions.Delete,Delete,,Удалить,
colors.actions.Edit,Edit,,Редактировать,
colors.attributes.Code,Code,,Артикул,
colors.attributes.ID,ID,,ID,
colors.attributes.Localization,Localization,,Локализация,
colors.attributes.Name,Name,,Имя,
colors.name,colors.name,,colors.name,
colors.name.plural,Colors,,Цвета,
en-US,en-US,,en-US,
import_translation_arguments.attributes.Translations File,Translations File,,Перевод Файла,
languages.attributes.ID,ID,,ID,
languages.attributes.Name,Name,,Имя,
